"国家","出度","入度","加权出度","加权入度","介数中心性","接近中心性","特征向量中心性"
"111",17,17,119530607.567,119530607.567,0.000597966912497508,0.995285781761095,1.14028460075671e-05
"72",1,1,2853680,2853680,0,0.221985742005186,3.18007139143155e-05
"136",1,1,14740,14740,0,0.979121488262482,1.64258964949472e-07
"10",8,8,3629720.582,3629720.582,0.0228556242110159,0.988836284888647,1.44724204281783e-06
"19",17,17,33990203.169,33990203.169,0,0.993301448541748,8.64873935103304e-06
"167",3,3,112347.88,112347.88,0.00704272141385954,0.930383977125654,8.96642530499999e-10
"104",26,26,19123629.098,19123629.098,0.266294598365557,0.998720088504732,9.809645668926e-06
"145",2,2,19023878.051,19023878.051,0,0.995038161953722,0.000211961011234509
"8",1,1,76010,76010,0,0.911989404328159,8.4703690134392e-07
"73",11,11,1660338462.248,1660338462.248,0.0342834363165238,0.960044552235748,0.0193663119017074
"90",2,2,39323,39323,0.0228556242110159,0.955521892881313,4.02657434826676e-07
"37",1,1,15687.737,15687.737,0,0.978613569103303,2.40332472888871e-08
"76",9,9,819730.76,819730.76,0.000332203840276394,0.993428526945661,1.03823850770928e-07
"100",1,1,3673247.587,3673247.587,0,0.18151790529086,5.32218434349004e-08
"63",1,1,9000,9000,0,0.97353501074726,6.32131468512256e-10
"166",1,1,13481.217,13481.217,0,0.982488676099948,3.8609429118572e-12
"138",3,3,26840.606,26840.606,0.0171417181582619,0.996269313134134,2.1849656251586e-11
"127",13,13,2093877.95,2093877.95,0.0215932496179656,0.996223284757503,4.62634649710277e-07
"50",47,47,81998819.231,81998819.231,0.0440502292206498,0.998200407503108,0.000133920252759768
"4",1,1,6716.171,6716.171,0,0.99005608134352,2.62590473089054e-11
"151",1,1,142821.888,142821.888,0,0.850181148274784,2.57904218129598e-10
"152",6,6,3085303.853,3085303.853,0.0737492525413594,0.997921400568399,6.09119898375497e-08
"118",47,47,1622215436.783,1622215436.783,0.170752773902066,0.999272099894015,0.014678023988832
"170",2,2,595722.705,595722.705,0,0.917339864454263,3.38697477131823e-12
"115",1,1,3142.85,3142.85,0,0.99358064579965,4.8147729173353e-09
"66",14,14,91888201.119,91888201.119,0,0.991312381992132,0.00126682951208577
"155",1,1,6443.849,6443.849,0,0.990895296870958,1.84548124414992e-12
"117",1,1,1825132,1825132,0,0.308381891392257,2.03388258626974e-05
"80",4,4,238578.4,238578.4,0.0114942528735632,0.952002439090373,1.02626189951833e-06
"175",1,1,2396.205,2396.205,0,0.952156992718365,2.32076383463147e-13
"147",1,1,88679,88679,0,0.898449326636242,2.40634165712105e-06
"143",2,2,3334443,3334443,0,0.703015300695032,3.80718629518251e-06
"86",20,20,147318725.423,147318725.423,0.0135539166832769,0.996251525234385,1.48651036640101e-05
"46",4,4,184632.808,184632.808,0,0.993110980366565,5.77434838459747e-08
"135",30,30,85855449.933,85855449.933,0.477177596173012,1,8.24103777862924e-05
"110",12,12,1380146294.742,1380146294.742,0.0276393595109959,0.997724941211022,0.0140712983302849
"105",3,3,1096127589.011,1096127589.011,0,0.370815653355444,0.0225620629413788
"55",5,5,326075319.023,326075319.023,0.0451797222775895,0.974708545327391,0.0078489355606672
"47",12,12,24744748.08,24744748.08,0.01787256660687,0.996925514908804,1.23131205255932e-05
"25",9,9,127306772.787,127306772.787,0.0114942528735632,0.984115260615965,0.00240576909284588
